id,batch_id,job_configuration_id,moodys_workflow_id,status,skipped,parent_job_id,created_ts,submitted_ts,completed_ts
1,201,1,MW-EDM-201001,FINISHED,FALSE,NULL,2025-10-14 00:02:00,2025-10-14 01:00:00,2025-10-14 02:00:00
2,201,2,MW-EDM-201002,FINISHED,FALSE,NULL,2025-10-14 00:04:00,2025-10-14 01:00:00,2025-10-14 03:00:00
3,201,3,MW-EDM-201003,FINISHED,FALSE,NULL,2025-10-14 00:06:00,2025-10-14 01:00:00,2025-10-14 04:00:00
4,201,4,MW-EDM-201004,FINISHED,FALSE,NULL,2025-10-14 00:08:00,2025-10-14 01:00:00,2025-10-14 01:00:00
5,201,5,MW-EDM-201005,FINISHED,FALSE,NULL,2025-10-14 00:10:00,2025-10-14 01:00:00,2025-10-14 02:00:00
6,201,6,MW-EDM-201006,FINISHED,FALSE,NULL,2025-10-14 00:12:00,2025-10-14 01:00:00,2025-10-14 03:00:00
7,201,7,MW-EDM-201007,FINISHED,FALSE,NULL,2025-10-14 00:14:00,2025-10-14 01:00:00,2025-10-14 04:00:00
8,202,8,MW-PF-202001,FINISHED,FALSE,NULL,2025-10-14 06:02:00,2025-10-14 07:00:00,2025-10-14 08:00:00
9,202,9,MW-PF-202002,FINISHED,FALSE,NULL,2025-10-14 06:04:00,2025-10-14 07:00:00,2025-10-14 09:00:00
10,202,10,MW-PF-202003,FINISHED,FALSE,NULL,2025-10-14 06:06:00,2025-10-14 07:00:00,2025-10-14 10:00:00
11,202,11,MW-PF-202004,FINISHED,FALSE,NULL,2025-10-14 06:08:00,2025-10-14 07:00:00,2025-10-14 11:00:00
12,202,12,MW-PF-202005,FINISHED,FALSE,NULL,2025-10-14 06:10:00,2025-10-14 07:00:00,2025-10-14 12:00:00
13,202,13,MW-PF-202006,FINISHED,FALSE,NULL,2025-10-14 06:12:00,2025-10-14 07:00:00,2025-10-14 13:00:00
14,202,14,MW-PF-202007,FINISHED,FALSE,NULL,2025-10-14 06:14:00,2025-10-14 07:00:00,2025-10-14 07:00:00
15,202,15,MW-PF-202008,FINISHED,FALSE,NULL,2025-10-14 06:16:00,2025-10-14 07:00:00,2025-10-14 08:00:00
16,202,16,MW-PF-202009,FINISHED,FALSE,NULL,2025-10-14 06:18:00,2025-10-14 07:00:00,2025-10-14 09:00:00
17,202,17,MW-PF-202010,FINISHED,FALSE,NULL,2025-10-14 06:20:00,2025-10-14 07:00:00,2025-10-14 10:00:00
18,202,18,MW-PF-202011,FINISHED,FALSE,NULL,2025-10-14 06:22:00,2025-10-14 07:00:00,2025-10-14 11:00:00
19,202,19,MW-PF-202012,FINISHED,FALSE,NULL,2025-10-14 06:24:00,2025-10-14 07:00:00,2025-10-14 12:00:00
20,202,20,MW-PF-202013,FINISHED,FALSE,NULL,2025-10-14 06:26:00,2025-10-14 07:00:00,2025-10-14 13:00:00
21,202,21,MW-PF-202014,FINISHED,FALSE,NULL,2025-10-14 06:28:00,2025-10-14 07:00:00,2025-10-14 07:00:00
22,202,22,MW-PF-202015,FINISHED,FALSE,NULL,2025-10-14 06:30:00,2025-10-14 07:00:00,2025-10-14 08:00:00
23,202,23,MW-PF-202016,FINISHED,FALSE,NULL,2025-10-14 06:32:00,2025-10-14 07:00:00,2025-10-14 09:00:00
24,202,24,MW-PF-202017,FINISHED,FALSE,NULL,2025-10-14 06:34:00,2025-10-14 07:00:00,2025-10-14 10:00:00
25,202,25,MW-PF-202018,FINISHED,FALSE,NULL,2025-10-14 06:36:00,2025-10-14 07:00:00,2025-10-14 11:00:00
