id,batch_id,configuration_id,job_configuration_data,skipped,overridden,override_reason_txt,parent_job_configuration_id,skipped_reason_txt,override_job_configuration_id
1,201,2,"{""Metadata"":{""Current Date Value"":""202503"",""EDM Data Version"":""23.0.0"",""Geocode Version"":""23.0.0"",""Hazard Version"":""23.0.0"",""DLM Model Version"":23,""Validate DLM Model Versions?"":""Y"",""Wildfire HD Model Version"":2,""SCS HD Model Version"":1,""Inland Flood HD Model Version"":1.2,""Validate HD Model Versions?"":""Y"",""Export RDM Name"":""RMS_RDM_202503_QEM_USAP""},""Database"":""RMS_EDM_202503_Quarterly_CBAP"",""Store in Data Bridge?"":""Y""}",FALSE,FALSE,NULL,NULL,NULL,NULL
2,201,2,"{""Metadata"":{""Current Date Value"":""202503"",""EDM Data Version"":""23.0.0"",""Geocode Version"":""23.0.0"",""Hazard Version"":""23.0.0"",""DLM Model Version"":23,""Validate DLM Model Versions?"":""Y"",""Wildfire HD Model Version"":2,""SCS HD Model Version"":1,""Inland Flood HD Model Version"":1.2,""Validate HD Model Versions?"":""Y"",""Export RDM Name"":""RMS_RDM_202503_QEM_USAP""},""Database"":""RMS_EDM_202503_Quarterly_USEQ"",""Store in Data Bridge?"":""Y""}",FALSE,FALSE,NULL,NULL,NULL,NULL
3,201,2,"{""Metadata"":{""Current Date Value"":""202503"",""EDM Data Version"":""23.0.0"",""Geocode Version"":""23.0.0"",""Hazard Version"":""23.0.0"",""DLM Model Version"":23,""Validate DLM Model Versions?"":""Y"",""Wildfire HD Model Version"":2,""SCS HD Model Version"":1,""Inland Flood HD Model Version"":1.2,""Validate HD Model Versions?"":""Y"",""Export RDM Name"":""RMS_RDM_202503_QEM_USAP""},""Database"":""RMS_EDM_202503_Quarterly_USFF"",""Store in Data Bridge?"":""Y""}",FALSE,FALSE,NULL,NULL,NULL,NULL
4,201,2,"{""Metadata"":{""Current Date Value"":""202503"",""EDM Data Version"":""23.0.0"",""Geocode Version"":""23.0.0"",""Hazard Version"":""23.0.0"",""DLM Model Version"":23,""Validate DLM Model Versions?"":""Y"",""Wildfire HD Model Version"":2,""SCS HD Model Version"":1,""Inland Flood HD Model Version"":1.2,""Validate HD Model Versions?"":""Y"",""Export RDM Name"":""RMS_RDM_202503_QEM_USAP""},""Database"":""RMS_EDM_202503_Quarterly_USFL"",""Store in Data Bridge?"":""Y""}",FALSE,FALSE,NULL,NULL,NULL,NULL
5,201,2,"{""Metadata"":{""Current Date Value"":""202503"",""EDM Data Version"":""23.0.0"",""Geocode Version"":""23.0.0"",""Hazard Version"":""23.0.0"",""DLM Model Version"":23,""Validate DLM Model Versions?"":""Y"",""Wildfire HD Model Version"":2,""SCS HD Model Version"":1,""Inland Flood HD Model Version"":1.2,""Validate HD Model Versions?"":""Y"",""Export RDM Name"":""RMS_RDM_202503_QEM_USAP""},""Database"":""RMS_EDM_202503_Quarterly_USHU"",""Store in Data Bridge?"":""Y""}",FALSE,FALSE,NULL,NULL,NULL,NULL
6,201,2,"{""Metadata"":{""Current Date Value"":""202503"",""EDM Data Version"":""23.0.0"",""Geocode Version"":""23.0.0"",""Hazard Version"":""23.0.0"",""DLM Model Version"":23,""Validate DLM Model Versions?"":""Y"",""Wildfire HD Model Version"":2,""SCS HD Model Version"":1,""Inland Flood HD Model Version"":1.2,""Validate HD Model Versions?"":""Y"",""Export RDM Name"":""RMS_RDM_202503_QEM_USAP""},""Database"":""RMS_EDM_202503_Quarterly_USST"",""Store in Data Bridge?"":""Y""}",FALSE,FALSE,NULL,NULL,NULL,NULL
7,201,2,"{""Metadata"":{""Current Date Value"":""202503"",""EDM Data Version"":""23.0.0"",""Geocode Version"":""23.0.0"",""Hazard Version"":""23.0.0"",""DLM Model Version"":23,""Validate DLM Model Versions?"":""Y"",""Wildfire HD Model Version"":2,""SCS HD Model Version"":1,""Inland Flood HD Model Version"":1.2,""Validate HD Model Versions?"":""Y"",""Export RDM Name"":""RMS_RDM_202503_QEM_USAP""},""Database"":""RMS_EDM_202503_Quarterly_USWF"",""Store in Data Bridge?"":""Y""}",FALSE,FALSE,NULL,NULL,NULL,NULL
8,202,2,"{""Metadata"":{""Current Date Value"":""202503"",""EDM Data Version"":""23.0.0"",""Geocode Version"":""23.0.0"",""Hazard Version"":""23.0.0"",""DLM Model Version"":23,""Validate DLM Model Versions?"":""Y"",""Wildfire HD Model Version"":2,""SCS HD Model Version"":1,""Inland Flood HD Model Version"":1.2,""Validate HD Model Versions?"":""Y"",""Export RDM Name"":""RMS_RDM_202503_QEM_USAP""},""Portfolio"":""CBHU"",""Database"":""RMS_EDM_202503_Quarterly_CBAP"",""Import File"":""CBHU"",""Base Portfolio?"":""Y""}",FALSE,FALSE,NULL,NULL,NULL,NULL
9,202,2,"{""Metadata"":{""Current Date Value"":""202503"",""EDM Data Version"":""23.0.0"",""Geocode Version"":""23.0.0"",""Hazard Version"":""23.0.0"",""DLM Model Version"":23,""Validate DLM Model Versions?"":""Y"",""Wildfire HD Model Version"":2,""SCS HD Model Version"":1,""Inland Flood HD Model Version"":1.2,""Validate HD Model Versions?"":""Y"",""Export RDM Name"":""RMS_RDM_202503_QEM_USAP""},""Portfolio"":""CBEQ"",""Database"":""RMS_EDM_202503_Quarterly_CBAP"",""Import File"":""CBEQ"",""Base Portfolio?"":""Y""}",FALSE,FALSE,NULL,NULL,NULL,NULL
10,202,2,"{""Metadata"":{""Current Date Value"":""202503"",""EDM Data Version"":""23.0.0"",""Geocode Version"":""23.0.0"",""Hazard Version"":""23.0.0"",""DLM Model Version"":23,""Validate DLM Model Versions?"":""Y"",""Wildfire HD Model Version"":2,""SCS HD Model Version"":1,""Inland Flood HD Model Version"":1.2,""Validate HD Model Versions?"":""Y"",""Export RDM Name"":""RMS_RDM_202503_QEM_USAP""},""Portfolio"":""USEQ_Clay_Homes"",""Database"":""RMS_EDM_202503_Quarterly_USEQ"",""Import File"":""USEQ"",""Base Portfolio?"":""N""}",FALSE,FALSE,NULL,NULL,NULL,NULL
11,202,2,"{""Metadata"":{""Current Date Value"":""202503"",""EDM Data Version"":""23.0.0"",""Geocode Version"":""23.0.0"",""Hazard Version"":""23.0.0"",""DLM Model Version"":23,""Validate DLM Model Versions?"":""Y"",""Wildfire HD Model Version"":2,""SCS HD Model Version"":1,""Inland Flood HD Model Version"":1.2,""Validate HD Model Versions?"":""Y"",""Export RDM Name"":""RMS_RDM_202503_QEM_USAP""},""Portfolio"":""USEQ_Clay_21st"",""Database"":""RMS_EDM_202503_Quarterly_USEQ"",""Import File"":""USEQ"",""Base Portfolio?"":""N""}",FALSE,FALSE,NULL,NULL,NULL,NULL
