id,batch_id,configuration_id,job_configuration_data,skipped,overridden,override_reason_txt,parent_job_configuration_id,skipped_reason_txt,override_job_configuration_id
1,101,1,"{""Metadata"":{""Version"":""2025.1"",""Database"":""IRP_2025Q1""},""Portfolio"":""EMEA_Property"",""Database"":""IRP_2025Q1"",""Import File"":""EMEA_Property.xlsx"",""Base Portfolio?"":""Y""}",FALSE,FALSE,NULL,NULL,NULL,NULL
2,101,1,"{""Metadata"":{""Version"":""2025.1"",""Database"":""IRP_2025Q1""},""Portfolio"":""NA_Casualty"",""Database"":""IRP_2025Q1"",""Import File"":""NA_Casualty.xlsx"",""Base Portfolio?"":""N""}",FALSE,FALSE,NULL,NULL,NULL,NULL
3,101,1,"{""Metadata"":{""Version"":""2025.1"",""Database"":""IRP_2025Q1""},""Portfolio"":""APAC_Combined"",""Database"":""IRP_2025Q1"",""Import File"":""APAC_Combined.xlsx"",""Base Portfolio?"":""N""}",FALSE,FALSE,NULL,NULL,NULL,NULL
4,102,1,"{""Metadata"":{""Version"":""2025.1""},""Analysis Name"":""Base_Analysis"",""Portfolio"":""EMEA_Property"",""Analysis Profile"":""Standard_EQ"",""Output Profile"":""Detail_Full""}",FALSE,FALSE,NULL,NULL,NULL,NULL
5,102,1,"{""Metadata"":{""Version"":""2025.1""},""Analysis Name"":""Sensitivity_High"",""Portfolio"":""EMEA_Property"",""Analysis Profile"":""Standard_EQ"",""Output Profile"":""Summary_Only""}",FALSE,FALSE,NULL,NULL,NULL,NULL
6,102,1,"{""Metadata"":{""Version"":""2025.1""},""Analysis Name"":""NA_BaseCase"",""Portfolio"":""NA_Casualty"",""Analysis Profile"":""Standard_WS"",""Output Profile"":""Detail_Full""}",FALSE,FALSE,NULL,NULL,NULL,NULL
7,102,1,"{""Metadata"":{""Version"":""2025.1""},""Analysis Name"":""NA_Sensitivity"",""Portfolio"":""NA_Casualty"",""Analysis Profile"":""Standard_WS"",""Output Profile"":""Summary_Only""}",FALSE,FALSE,NULL,NULL,NULL,NULL
8,102,1,"{""Metadata"":{""Version"":""2025.1""},""Analysis Name"":""APAC_Analysis"",""Portfolio"":""APAC_Combined"",""Analysis Profile"":""Standard_TC"",""Output Profile"":""Detail_Full""}",FALSE,FALSE,NULL,NULL,NULL,NULL
9,103,1,"{""Metadata"":{""Version"":""2025.1""},""Portfolio"":""EMEA_Property"",""Database"":""IRP_2025Q1"",""Import File"":""EMEA_MRI_2025.xlsx""}",FALSE,FALSE,NULL,NULL,NULL,NULL
10,103,1,"{""Metadata"":{""Version"":""2025.1""},""Portfolio"":""NA_Casualty"",""Database"":""IRP_2025Q1"",""Import File"":""NA_MRI_2025.xlsx""}",FALSE,FALSE,NULL,NULL,NULL,NULL
11,103,1,"{""Metadata"":{""Version"":""2025.1""},""Portfolio"":""APAC_Combined"",""Database"":""IRP_2025Q1"",""Import File"":""APAC_MRI_2025.xlsx""}",FALSE,FALSE,NULL,NULL,NULL,NULL
